2015-04-12 17:27:16,276 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 17:27:21,153 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 17:27:21,203 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-04-12 17:27:21,253 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 17:27:21,266 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 17:39:43,136 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 17:39:43,142 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 17:39:43,144 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 17:39:43,149 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 17:40:10,479 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 17:40:10,533 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 17:40:10,535 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 17:40:10,549 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 17:42:58,705 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 17:42:58,793 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 17:42:58,795 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 17:42:58,804 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 17:55:23,391 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 17:55:23,403 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 17:55:23,405 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 17:55:23,411 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 17:55:54,003 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 17:55:54,010 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 17:55:54,012 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 17:55:54,022 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 20:01:20,179 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 20:01:20,239 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 20:01:20,241 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 20:01:20,247 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 20:42:02,784 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 20:42:03,018 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 20:42:03,020 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 20:42:03,269 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 20:47:28,498 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 20:47:28,507 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 20:47:28,510 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 20:47:28,517 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 20:52:00,730 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 20:52:00,741 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-04-12 20:52:00,743 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-12 20:52:00,769 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
